product_title	shop_slug	sku	stock	price	sale_price	selections_json	variant_state
Linen Weekend Dress	olive-atelier	OA-DRESS-STD	23	82		{}	active
Canvas Market Tote	olive-atelier	OA-TOTE-STD	22	64		{}	active
Yamaha HPH-MT7 Studio Monitor Headphones	reed-workshop	RW-HOOD-BLK-S	6	68		"{""color"":""black"",""size"":""s""}"	active
Yamaha HPH-MT7 Studio Monitor Headphones	reed-workshop	RW-HOOD-BLK-M	8	68		"{""color"":""black"",""size"":""m""}"	active
Yamaha HPH-MT7 Studio Monitor Headphones	reed-workshop	RW-HOOD-RED-S	4	68		"{""color"":""red"",""size"":""s""}"	active
Yamaha HPH-MT7 Studio Monitor Headphones	reed-workshop	RW-HOOD-RED-M	7	68		"{""color"":""red"",""size"":""m""}"	active
Sony WH-1000XM6 Wireless Headphones	reed-workshop	RW-STAND-WAL	11	36		{}	active
Minimal Horizon Print	sage-studio	SS-PRINT-HZN	17	54		{}	active
Oak Side Table	sage-studio	SS-TABLE-OAK	3	140		"{""finish"":""oak""}"	active
Oak Side Table	sage-studio	SS-TABLE-WAL	2	155		"{""finish"":""walnut""}"	active
Solid Oak Console Table	hazel-home	HH-CONSOLE-OAK	7	185		"{""finish"":""oak""}"	active
Walnut Accent Side Table	hazel-home	HH-SIDE-WAL	9	132		"{""finish"":""walnut""}"	active
Xbox Wireless Controller	juno-console	JC-XBOX-CTRL	18	59		{}	active
PlayStation DualSense Wireless Controller	juno-console	JC-PS-CTRL	16	69		{}	active
Bulk Draft Product 01	bulk-catalog-lab	BCL-PROD-01	11	21		{}	active
Bulk Draft Product 02	bulk-catalog-lab	BCL-PROD-02	12	22		{}	active
Bulk Draft Product 03	bulk-catalog-lab	BCL-PROD-03	13	23		{}	active
Bulk Draft Product 04	bulk-catalog-lab	BCL-PROD-04	14	24		{}	active
Bulk Draft Product 05	bulk-catalog-lab	BCL-PROD-05	15	25		{}	active
Bulk Draft Product 06	bulk-catalog-lab	BCL-PROD-06	16	26		{}	active
Bulk Draft Product 07	bulk-catalog-lab	BCL-PROD-07	17	27		{}	active
Bulk Draft Product 08	bulk-catalog-lab	BCL-PROD-08	18	28		{}	active
Bulk Draft Product 09	bulk-catalog-lab	BCL-PROD-09	19	29		{}	active
Bulk Draft Product 10	bulk-catalog-lab	BCL-PROD-10	20	30		{}	active
Bulk Draft Product 11	bulk-catalog-lab	BCL-PROD-11	21	31		{}	active
Bulk Draft Product 12	bulk-catalog-lab	BCL-PROD-12	22	32		{}	active
Bulk Draft Product 13	bulk-catalog-lab	BCL-PROD-13	23	33		{}	active
Bulk Draft Product 14	bulk-catalog-lab	BCL-PROD-14	24	34		{}	active
Bulk Draft Product 15	bulk-catalog-lab	BCL-PROD-15	25	35		{}	active
Bulk Draft Product 16	bulk-catalog-lab	BCL-PROD-16	26	36		{}	active
Bulk Draft Product 17	bulk-catalog-lab	BCL-PROD-17	27	37		{}	active
Bulk Draft Product 18	bulk-catalog-lab	BCL-PROD-18	28	38		{}	active
Bulk Draft Product 19	bulk-catalog-lab	BCL-PROD-19	29	39		{}	active
Bulk Draft Product 20	bulk-catalog-lab	BCL-PROD-20	30	40		{}	active
Bulk Draft Product 21	bulk-catalog-lab	BCL-PROD-21	31	41		{}	active
Bulk Draft Product 22	bulk-catalog-lab	BCL-PROD-22	32	42		{}	active
Bulk Draft Product 23	bulk-catalog-lab	BCL-PROD-23	33	43		{}	active
Bulk Draft Product 24	bulk-catalog-lab	BCL-PROD-24	34	44		{}	active
Bulk Draft Product 25	bulk-catalog-lab	BCL-PROD-25	35	45		{}	active
Bulk Draft Product 26	bulk-catalog-lab	BCL-PROD-26	36	46		{}	active
Bulk Draft Product 27	bulk-catalog-lab	BCL-PROD-27	37	47		{}	active
