from_currency	to_currency	rate	source
USD	AUD	1.5300000000	demo-seed
USD	BRL	5.4200000000	demo-seed
USD	CHF	0.9100000000	demo-seed
USD	CNY	7.2400000000	demo-seed
USD	CZK	22.6800000000	demo-seed
USD	DKK	6.8800000000	demo-seed
USD	EUR	0.8800000000	demo-seed
USD	GBP	0.7500000000	demo-seed
USD	CAD	1.3700000000	demo-seed
USD	HKD	7.8100000000	demo-seed
USD	HUF	352.5000000000	demo-seed
USD	IDR	16250.0000000000	demo-seed
USD	ILS	3.6800000000	demo-seed
USD	INR	83.1000000000	demo-seed
USD	JPY	156.4000000000	demo-seed
USD	KRW	1365.0000000000	demo-seed
USD	MAD	9.9800000000	demo-seed
USD	MXN	16.7200000000	demo-seed
USD	MYR	4.7100000000	demo-seed
USD	NOK	10.5800000000	demo-seed
USD	NZD	1.6600000000	demo-seed
USD	PHP	58.2000000000	demo-seed
USD	PLN	3.7600000000	demo-seed
USD	SEK	10.3400000000	demo-seed
USD	VND	24803.0000000000	demo-seed
USD	SGD	1.3500000000	demo-seed
USD	THB	36.4500000000	demo-seed
USD	TRY	32.1800000000	demo-seed
USD	TWD	32.4500000000	demo-seed
USD	ZAR	18.4100000000	demo-seed
AUD	USD	0.6535947712	demo-seed
AUD	BRL	3.5424836601	demo-seed
AUD	CHF	0.5947712418	demo-seed
AUD	CNY	4.7320261438	demo-seed
AUD	CZK	14.8235294118	demo-seed
AUD	DKK	4.4967320261	demo-seed
AUD	EUR	0.5751633987	demo-seed
AUD	GBP	0.4901960784	demo-seed
AUD	CAD	0.8954248366	demo-seed
AUD	HKD	5.1045751634	demo-seed
AUD	HUF	230.3921568627	demo-seed
AUD	IDR	10620.9150326797	demo-seed
AUD	ILS	2.4052287582	demo-seed
AUD	INR	54.3137254902	demo-seed
AUD	JPY	102.2222222222	demo-seed
AUD	KRW	892.1568627451	demo-seed
AUD	MAD	6.5228758170	demo-seed
AUD	MXN	10.9281045752	demo-seed
AUD	MYR	3.0784313725	demo-seed
AUD	NOK	6.9150326797	demo-seed
AUD	NZD	1.0849673203	demo-seed
AUD	PHP	38.0392156863	demo-seed
AUD	PLN	2.4575163399	demo-seed
AUD	SEK	6.7581699346	demo-seed
AUD	VND	16211.1111111111	demo-seed
AUD	SGD	0.8823529412	demo-seed
AUD	THB	23.8235294118	demo-seed
AUD	TRY	21.0326797386	demo-seed
AUD	TWD	21.2091503268	demo-seed
AUD	ZAR	12.0326797386	demo-seed
BRL	USD	0.1845018450	demo-seed
BRL	AUD	0.2822878229	demo-seed
BRL	CHF	0.1678966790	demo-seed
BRL	CNY	1.3357933579	demo-seed
BRL	CZK	4.1845018450	demo-seed
BRL	DKK	1.2693726937	demo-seed
BRL	EUR	0.1623616236	demo-seed
BRL	GBP	0.1383763838	demo-seed
BRL	CAD	0.2527675277	demo-seed
BRL	HKD	1.4409594096	demo-seed
BRL	HUF	65.0369003690	demo-seed
BRL	IDR	2998.1549815498	demo-seed
BRL	ILS	0.6789667897	demo-seed
BRL	INR	15.3321033210	demo-seed
BRL	JPY	28.8560885609	demo-seed
BRL	KRW	251.8450184502	demo-seed
BRL	MAD	1.8413284133	demo-seed
