product_title	shop_slug	attribute_key	option_value
GRC-3 Mechanical Apple Graphic Tee (Ver. BOX) - Black	noirvember	color	Black
GRC-3 Mechanical Apple Graphic Tee (Ver. BOX) - Black	noirvember	material	Cotton
GRC-3 Mechanical Apple Graphic Tee (Ver. BOX) - Black	noirvember	gender	Male
AA-01 “Anomaly Company” Hoodie - Dark Grey	noirvember	gender	Male
TS-03 “Deconstruct” Shirt - Black	noirvember	color	Black
TS-03 “Deconstruct” Shirt - Black	noirvember	gender	Male
HBK-03 “Emblematic” Pockets Shirt - White	noirvember	color	White
HBK-03 “Emblematic” Pockets Shirt - White	noirvember	gender	Male
Kaesy Team Tee - Black	noirvember	color	Black
Kaesy Team Tee - Black	noirvember	gender	Male
2022AW KAT-X1 Spiral Pants - Oatmeal	noirvember	color	Beige
2022AW KAT-X1 Spiral Pants - Oatmeal	noirvember	gender	Male
WS-01 “Stereo Cutting” Military Pants - Grey	noirvember	gender	Male
1906R "Protection Pack - Black" sneakers	noirvember	color	Black
1906R "Protection Pack - Black" sneakers	noirvember	gender	Male
1906R "Protection Pack - Black" sneakers	noirvember	shoe_size	US 8
1906R "Protection Pack" sneakers	noirvember	color	White
1906R "Protection Pack" sneakers	noirvember	gender	Male
1906R "Protection Pack" sneakers	noirvember	shoe_size	US 7
Hallucinating Corduroy Cap	prompt-parlor	material	Canvas
Hallucinating Corduroy Cap	prompt-parlor	gender	Unisex
Hallucinating Corduroy Cap	prompt-parlor	style	Baseball cap
B Studios Mellow Over Half Shirt	seoul-vault	gender	Male
SG Pumpkin Linen Bermuda Pants	seoul-vault	material	Linen
SG Pumpkin Linen Bermuda Pants	seoul-vault	gender	Male
B Studios Timeless Wide Pants	seoul-vault	gender	Male
SNM Cotton Jogger Pants	seoul-vault	material	Cotton
SNM Cotton Jogger Pants	seoul-vault	gender	Male
