shop_slug	product_title	user_email	guest_session_id	guest_session_prefix	guest_session_count	viewed_at	viewed_at_step_minutes
olive-atelier	Canvas Market Tote			trend-canvas-market-tote-	6	2026-06-15T09:00:00.000Z	5
reed-workshop	Sony WH-1000XM6 Wireless Headphones			trend-sony-wh-1000xm6-	5	2026-06-15T09:30:00.000Z	5
reed-workshop	Yamaha HPH-MT7 Studio Monitor Headphones			trend-yamaha-hph-mt7-	5	2026-06-15T09:55:00.000Z	5
sage-studio	Minimal Horizon Print			trend-minimal-horizon-print-	4	2026-06-15T10:20:00.000Z	5
sage-studio	Oak Side Table			trend-oak-side-table-	4	2026-06-15T10:40:00.000Z	5
hazel-home	Solid Oak Console Table			trend-solid-oak-console-table-	3	2026-06-15T11:00:00.000Z	5
hazel-home	Walnut Accent Side Table			trend-walnut-accent-side-table-	3	2026-06-15T11:15:00.000Z	5
juno-console	Xbox Wireless Controller			trend-xbox-wireless-controller-	3	2026-06-15T11:30:00.000Z	5
juno-console	PlayStation DualSense Wireless Controller			trend-playstation-dualsense-wireless-controller-	3	2026-06-15T11:45:00.000Z	5
rowan-menswear	AW23 / 11 —J23-029 Ripple Tornado Pullover			trend-ripple-tornado-pullover-	3	2026-06-15T12:00:00.000Z	5
rowan-menswear	S26-S1-P / Visor Structure Pants			trend-visor-structure-pants-	3	2026-06-15T12:15:00.000Z	5
noirvember	S26-PRE-P / Vent Zip Pants			trend-vent-zip-pants-	2	2026-06-15T12:30:00.000Z	5
noirvember	S26-S1-T2 / Visor Print Tee			trend-visor-print-tee-	2	2026-06-15T12:40:00.000Z	5
noirvember	S26-S1-B / Visor Utility Bag			trend-visor-utility-bag-	2	2026-06-15T12:50:00.000Z	5
noirvember	GRC-3 Mechanical Apple Graphic Tee (Ver. BOX) - Black			trend-mechanical-apple-tee-	2	2026-06-15T13:00:00.000Z	5
prompt-parlor	Hallucinating Corduroy Cap			trend-hallucinating-corduroy-cap-	2	2026-06-15T13:10:00.000Z	5
prompt-parlor	Claude AI Inspired Mug			trend-claude-ai-inspired-mug-	2	2026-06-15T13:20:00.000Z	5
prompt-parlor	Clawd Figurine			trend-clawd-figurine-	2	2026-06-15T13:30:00.000Z	5
benedict-mercy	Gothic Skull Rosary			trend-gothic-skull-rosary-	2	2026-06-15T13:40:00.000Z	5
benedict-mercy	Personalized Black Leather Bible for Men			trend-black-leather-bible-	2	2026-06-15T13:50:00.000Z	5
signal-foundry	Lofree Flow84 Low-profile Mechanical Keyboard			trend-lofree-flow84-	2	2026-06-15T14:00:00.000Z	5
signal-foundry	HHKB Professional Classic Keyboard			trend-hhkb-professional-classic-	2	2026-06-15T14:10:00.000Z	5
